Reorder Qty,Name,Size,Color,Pattern,UPC
15,,XXL,Sweet Pea,Micro Stripe,646847670398
15,,XXL,Sweet Pea,Micro Stripe,646847670398
15,Cortland,XL,Navy,,613605648524
15,Adam,XXL,Navy,Pique,730792996921
15,Bingo,XS,White,Terry,600605648524
15,Bingo,XL,White,Terry,601005648527
15,Coleman Pant,30,White,,780456620570
14,,XXL,Atlantic,Micro Stripe,646847670442
13,Alexander,L,Orange,,606405648528
13,Ace,S,White,Terry,646847671258
13,Walking Short,38,Stone,,780456620402
12,,XXL,Delphinium,Micro Stripe,646847670497
12,,XXL,Delphinium,Micro Stripe,646847670497
12,Phillip,S,Sweet Pea,Micro,646847671159
11,Alexander,XL,Orange,,606505648527
11,,S,Sweet Pea,Micro Stripe,646847670350
11,,S,Atlantic,Micro Stripe,646847670404
11,,S,Sweet Pea,Micro Stripe,646847670350
11,,S,Delphinium,Micro Stripe,646847670459
11,,S,Delphinium,Micro Stripe,646847670459
11,Walking Short,42,Ocean,Camo,780456620563
10,Ace,XXL,White,Terry,646847671296
9,Alexander,XXL,Pink,,646847670084
9,,XL,Delphinium,Classic Stripe,646847670732
9,,XL,Delphinium,Classic Stripe,646847670732
9,George,XL,White,,617105648527
9,Walking Short,30,Ocean,Camo,780456620501
9,Walking Short,42,Stone,,780456620426
8,Alexander,XXL,Washed Blue,,646847670039
8,Bingo,S,White,Terry,600705648523
8,Walking Short,36,Stone,,780456620396
7,,S,White,Pencil Stripe,646847670756
7,,S,White,Pencil Stripe,646847670756
7,Cortland,S,White,,613705648523
7,Coleman Pant,42,Stone,,780456620846
7,Walking Short,42,Sunny Yellow,,780456620211
7,Walking Short,42,Deep Blue,,780456620280
7,Walking Short,42,White,,780456620495
6,Alexander,S,Pink,,646847670046
6,Alexander,S,Delphinium,,646847670091
6,Alexander,XXL,Delphinium,,646847670138
6,Coleman Pant,42,White,,780456620631
6,Walking Short,36,Ocean,Camo,780456620532
6,Walking Short,38,Sky Blue,,780456620334
6,Walking Short,42,Sky Blue,,780456620358
6,Walking Short,40,Stone,,780456620419
6,Walking Short,38,White,,780456620471
5,Alexander,S,Orange,,606205648520
5,,XXL,White,Pencil Stripe,646847670794
5,,XXL,White,Pencil Stripe,646847670794
5,Phillip,XXL,Sweet Pea,Micro,646857671197
5,Ace,S,Washed Blue,Terry,646847671203
5,Coleman Pant,42,Pink,,780456620983
5,Walking Short,42,Pink,,780456620075
5,Walking Short,38,Ocean,Camo,780456620549
4,Alexander,S,Washed Blue,,646847669996
4,,S,Sweet Pea,Classic Stripe,646847670602
4,,S,Sweet Pea,Classic Stripe,646847670602
4,,XXL,Delphinium,Classic Stripe,646847679749
4,,XXL,Delphinium,Pencil Stripe,646847670893
4,,XXL,Delphinium,Classic Stripe,646847679749
4,,XXL,Delphinium,Pencil Stripe,646847670893
4,Cortland,XL,White,,614105648526
4,Bingo,S,White,Terry,646847671401
4,Coleman Pant,42,Sky Blue,,780456620709
4,Coleman Pant,42,Sunny Yellow,,780456620778
4,Coleman Pant,42,Camp Green,,780456620914
4,Coleman Pant,30,Stone,,780456620785
4,Coleman Pant,32,Stone,,780456620792
4,Walking Short,38,Pink,,780456620051
4,Walking Short,40,Ocean,Camo,780456620556
4,Walking Short,34,Stone,,780456620389
3,,XXL,Sweet Pea,Classic Stripe,646847670640
3,,XXL,Sweet Pea,Classic Stripe,646847670640
3,,S,Delphinium,Pencil Stripe,646847670855
3,,S,Delphinium,Pencil Stripe,646847670855
3,William,S,White,Pique,730792996457
3,Bingo,S,Darkest Indigo,Terry,646847671357
3,Coleman Pant,38,Stone,,780456620822
3,Walking Short,32,Ocean,Camo,780456620518
2,Coleman Pant,38,White,,780456620617
2,Walking Short,30,Stone,,780456620365
1,Alexander,M,Orange,,606305648529
1,,S,Delphinium,Classic Stripe,646847670701
1,,S,Delphinium,Classic Stripe,646847670701
1,Cortland,S,Navy,,613205648528
1,Ace,S,Darkest Indigo,Terry,646847671302
1,Walking Short,38,Sunny Yellow,,780456620198
1,Walking Short,32,Stone,,780456620372